parameter_id,provider,description,value_numeric,distribution,source_citation,data_tier,uncertainty_note
MC_TRIALS,simulation,Number of Monte Carlo simulation trials,100000,fixed,FAIR Institute best practice — standard for stable percentile convergence at VaR 99,structured,Increase to 500000 if VaR 99 shows instability across runs
MC_SEED,simulation,Random seed for reproducibility,42,fixed,Convention,structured,Change to verify result stability across seeds
AWS_LAMBDA,AWS,Poisson rate — major EU outages per year,0.2,poisson,No major EU incidents recorded in 36-month observation window (fetch_incidents.R). Structured assumption: AWS EU historical availability >99.99%; rate of 0.2/yr (one event every 5 years) is conservative upper bound consistent with published SLA and global incident frequency. See validate_incidents.R lambda table.,structured,Primary sensitivity parameter. Range tested in index.qmd Section 3.8: 0.10 to 0.50/yr. VaR 99 is materially sensitive to this value.
AWS_DUR_P50,AWS,Median outage duration in hours,4.0,lognormal,No empirical duration data in observation window. Structured assumption: AWS major EU incidents (2019–2022 pre-window period) had median duration of approximately 3–5 hours per public RCA disclosures. P50 = 4.0h.,structured,P50 range 2.0–6.0h tested in sensitivity. Log-normal mu = log(4.0) = 1.386.
AWS_DUR_P90,AWS,90th percentile outage duration in hours,12.0,lognormal,Structured assumption: 90th percentile set at 3x median consistent with log-normal shape observed in Azure and Equinix empirical data. P90 = 12.0h.,structured,P90 range 8.0–18.0h. Implied sigma = (log(12) - log(4)) / 1.282 = 0.857.
AZURE_LAMBDA,Azure,Poisson rate — major EU outages per year,1.0,poisson,Empirical MLE: 3 incidents in 36-month window (validate_incidents.R). Lambda = 3 / 3.0 = 1.000/yr. 95% CI [0.000 – 2.132]. Seed incidents sourced from Microsoft public Post Incident Reviews.,empirical,Wide CI due to n=3. Lambda CI lower bound is 0; upper bound 2.132. Sensitivity to lambda range 0.5–2.0 documented.
AZURE_DUR_P50,Azure,Median outage duration in hours,8.5,lognormal,Empirical: P50 = 8.5h computed from 3 seed incidents (validate_incidents.R duration check). Incidents: Sep 2023 Entra ID (8.5h); Jan 2024 Storage (8.0h); Jul 2024 CrowdStrike-related (18.0h).,empirical,n=3; estimate is unstable. P50 range 6.0–12.0h in sensitivity.
AZURE_DUR_P90,Azure,90th percentile outage duration in hours,16.1,lognormal,Empirical: P90 = 16.1h from 3 incidents (validate_incidents.R). Dominated by July 2024 event (18.0h). Implied sigma = (log(16.1) - log(8.5)) / 1.282 = 0.487.,empirical,Sensitive to July 2024 outlier. P90 range 12.0–22.0h in sensitivity.
GCP_LAMBDA,GCP,Poisson rate — major EU outages per year,0.333,poisson,Empirical MLE: 1 incident in 36-month window (June 2025 degraded event per live feed). Lambda = 1 / 3.0 = 0.333/yr. 95% CI [0.000 – 0.987]. GCP EU historically very stable.,empirical,Wide CI due to n=1. Treated as wide-CI empirical rather than structured assumption because a real incident was observed. Sensitivity range 0.1–0.5/yr.
GCP_DUR_P50,GCP,Median outage duration in hours,7.5,lognormal,Empirical: single observation of 7.5h (June 2025 incident). P50 = P90 = 7.5h from one data point — log-normal fitting is degenerate. Sigma set to match Azure sigma (0.487) as nearest comparable hyperscale provider.,structured,Single observation. Duration structured assumption applied. Range 4.0–12.0h.
